Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
San Francisco (SFO),United Airlines,UA 748,7:00 PM,C,Landed - On-time,10:06 PM,,10:22 PM,
San Francisco (SFO),Air New Zealand,NZ 9132,7:00 PM,C,Landed - On-time,10:06 PM,,10:22 PM,
San Francisco (SFO),Asiana Airlines,OZ 9524,7:00 PM,C,Landed - On-time,10:06 PM,,10:22 PM,
San Francisco (SFO),SAS,SK 6792,7:00 PM,C,Landed - On-time,10:06 PM,,10:22 PM,
Montreal (YUL),ExpressJet,EV 4402,7:00 PM,A,Landed - Delayed,11:12 PM,,8:32 PM,
Montreal (YUL),Air Canada,AC 4603,7:00 PM,A,Landed - Delayed,11:12 PM,,8:32 PM,
Montreal (YUL),SAS,SK 6875,7:00 PM,A,Landed - Delayed,11:12 PM,,8:32 PM,
Montreal (YUL),United Airlines,UA 4402,7:00 PM,A,Landed - Delayed,11:12 PM,,8:32 PM,
Charlotte (CLT),American Airlines,AA 1757,7:01 PM,A,Landed - Delayed,9:52 PM,,9:10 PM,
Chicago (ORD),Envoy Air,MQ 3990,7:01 PM,A,Landed - Delayed,9:49 PM,,8:48 PM,
Chicago (ORD),Alaska Airlines,AS 4320,7:01 PM,A,Landed - Delayed,9:49 PM,,8:48 PM,
Chicago (ORD),British Airways,BA 4848,7:01 PM,A,Landed - Delayed,9:49 PM,,8:48 PM,
Chicago (ORD),American Airlines,AA 3990,7:01 PM,A,Landed - Delayed,9:49 PM,,8:48 PM,
Orlando (MCO),United Airlines,UA 1417,7:05 PM,C,Landed - Delayed,12:59 AM,1,10:02 PM,
Orlando (MCO),SAS,SK 6760,7:05 PM,C,Landed - Delayed,12:59 AM,1,10:02 PM,
Orlando (MCO),TAP Portugal,TP 8574,7:05 PM,C,Landed - Delayed,12:59 AM,1,10:02 PM,
Paris (ORY),La Compagnie,B0 101,7:05 PM,B,Landed,8:17 AM,1,8:50 AM,1
West Palm Beach (PBI),United Airlines,UA 1764,7:05 PM,C,Landed - On-time,10:12 PM,,9:57 PM,
West Palm Beach (PBI),Air Canada,AC 5095,7:05 PM,C,Landed - On-time,10:12 PM,,9:57 PM,
West Palm Beach (PBI),Lufthansa,LH 7814,7:05 PM,C,Landed - On-time,10:12 PM,,9:57 PM,
West Palm Beach (PBI),SAS,SK 6732,7:05 PM,C,Landed - On-time,10:12 PM,,9:57 PM,
Sacramento (SMF),United Airlines,UA 2411,7:05 PM,C,Landed - Delayed,10:41 PM,,10:33 PM,
Halifax (YHZ),Republic Airlines,YX 3422,7:05 PM,C,Landed - Delayed,11:13 PM,,10:04 PM,
Halifax (YHZ),Air Canada,AC 4481,7:05 PM,C,Landed - Delayed,11:13 PM,,10:04 PM,
Halifax (YHZ),SAS,SK 6876,7:05 PM,C,Landed - Delayed,11:13 PM,,10:04 PM,
Halifax (YHZ),United Airlines,UA 3422,7:05 PM,C,Landed - Delayed,11:13 PM,,10:04 PM,
Akron (CAK),ExpressJet,EV 4117,7:10 PM,A,Landed - Delayed,10:43 PM,,8:50 PM,
Akron (CAK),Lufthansa,LH 8788,7:10 PM,A,Landed - Delayed,10:43 PM,,8:50 PM,
Akron (CAK),United Airlines,UA 4117,7:10 PM,A,Landed - Delayed,10:43 PM,,8:50 PM,
Dulles (IAD),CommutAir,C5 4900,7:10 PM,A,Landed - Delayed,9:47 PM,,8:47 PM,
Dulles (IAD),TAP Portugal,TP 8506,7:10 PM,A,Landed - Delayed,9:47 PM,,8:47 PM,
Dulles (IAD),United Airlines,UA 4900,7:10 PM,A,Landed - Delayed,9:47 PM,,8:47 PM,
West Palm Beach (PBI),JetBlue Airways,B6 543,7:10 PM,A,Landed - Delayed,12:56 AM,1,10:08 PM,
West Palm Beach (PBI),TAP Portugal,TP 8105,7:10 PM,A,Landed - Delayed,12:56 AM,1,10:08 PM,
Portland (PDX),United Airlines,UA 1551,7:10 PM,C,Landed - Delayed,10:22 PM,,10:09 PM,
Portland (PDX),SAS,SK 6726,7:10 PM,C,Landed - Delayed,10:22 PM,,10:09 PM,
San Francisco (SFO),Alaska Airlines,AS 1195,7:10 PM,A,Landed - Delayed,11:00 PM,,10:38 PM,
San Francisco (SFO),Singapore Airlines,SQ 1309,7:10 PM,A,Landed - Delayed,11:00 PM,,10:38 PM,
Cleveland (CLE),United Airlines,UA 659,7:13 PM,C,Landed - On-time,8:55 PM,,8:51 PM,
Cleveland (CLE),SAS,SK 6790,7:13 PM,C,Landed - On-time,8:55 PM,,8:51 PM,
Denver (DEN),United Airlines,UA 485,7:15 PM,C,Landed - Delayed,12:14 AM,1,9:41 PM,
Denver (DEN),SAS,SK 3935,7:15 PM,C,Landed - Delayed,12:14 AM,1,9:41 PM,
Denver (DEN),TAP Portugal,TP 8470,7:15 PM,C,Landed - Delayed,12:14 AM,1,9:41 PM,
Minneapolis (MSP),Republic Airlines,YX 3531,7:15 PM,C,Landed - Delayed,9:38 PM,,9:29 PM,
Minneapolis (MSP),Lufthansa,LH 7728,7:15 PM,C,Landed - Delayed,9:38 PM,,9:29 PM,
Minneapolis (MSP),SAS,SK 6752,7:15 PM,C,Landed - Delayed,9:38 PM,,9:29 PM,
Minneapolis (MSP),TAP Portugal,TP 8552,7:15 PM,C,Landed - Delayed,9:38 PM,,9:29 PM,
Minneapolis (MSP),United Airlines,UA 3531,7:15 PM,C,Landed - Delayed,9:38 PM,,9:29 PM,
Detroit (DTW),SkyWest Airlines,OO 4629,7:19 PM,B,Landed - On-time,9:20 PM,,9:25 PM,
Detroit (DTW),KLM,KL 6787,7:19 PM,B,Landed - On-time,9:20 PM,,9:25 PM,
Detroit (DTW),Virgin Atlantic,VS 4465,7:19 PM,B,Landed - On-time,9:20 PM,,9:25 PM,
Detroit (DTW),Delta Air Lines,DL 4629,7:19 PM,B,Landed - On-time,9:20 PM,,9:25 PM,
Fort Lauderdale (FLL),United Airlines,UA 513,7:20 PM,C,Landed - Delayed,10:58 PM,,10:23 PM,
Fort Lauderdale (FLL),SAS,SK 6776,7:20 PM,C,Landed - Delayed,10:58 PM,,10:23 PM,
San Jose (SJC),United Airlines,UA 1209,7:20 PM,C,Landed - On-time,10:34 PM,,10:47 PM,
Houston (IAH),United Airlines,UA 2159,7:23 PM,C,Landed - Delayed,12:10 AM,1,10:18 PM,
Houston (IAH),Air New Zealand,NZ 6602,7:23 PM,C,Landed - Delayed,12:10 AM,1,10:18 PM,
Houston (IAH),SAS,SK 6822,7:23 PM,C,Landed - Delayed,12:10 AM,1,10:18 PM,
Houston (IAH),TAP Portugal,TP 8532,7:23 PM,C,Landed - Delayed,12:10 AM,1,10:18 PM,
Barcelona (BCN),United Airlines,UA 120,7:25 PM,C,Landed - On-time,9:08 AM,1,9:00 AM,1
Barcelona (BCN),Air Canada,AC 5934,7:25 PM,C,Landed - On-time,9:08 AM,1,9:00 AM,1
