Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Baltimore (BWI),Southwest Airlines,WN 8512,12:09 AM,,Landed,,,,
Baltimore (BWI),Mountain Air Cargo,C2 7304,12:10 AM,,Unknown,,,,
Paris (ORY),Norwegian Air Shuttle,DY 7192,12:30 AM,B,Landed,1:48 PM,,1:35 PM,
Paris (ORY),euroAtlantic Airways,YU 7192,12:30 AM,B,Landed,1:48 PM,,1:35 PM,
Rockford (RFD),UPS,5X 108,12:48 AM,,Unknown,,,,
Los Angeles (LAX),FedEx,FX 1026,1:15 AM,,Landed - On-time,4:07 AM,,,
Hong Kong (HKG),American Airlines,AA 8942,1:55 AM,B,Landed - On-time,5:01 AM,,5:30 AM,
Hong Kong (HKG),Cathay Pacific,CX 899,1:55 AM,B,Landed - On-time,5:01 AM,,5:30 AM,
Baltimore (BWI),Mountain Air Cargo,C2 8308,3:20 AM,,Landed - On-time,4:47 AM,,,
Atlanta (ATL),FedEx,FX 1988,3:25 AM,,Landed - Delayed,5:45 AM,,,
Orlando (MCO),FedEx,FX 1966,3:25 AM,,Landed - On-time,5:50 AM,,,
Detroit (DTW),FedEx,FX 1982,3:30 AM,,Landed - On-time,5:14 AM,,,
Middletown (MDT),Wiggins Airways,8307,3:30 AM,,Landed,,,,
Chicago (ORD),FedEx,FX 1950,3:30 AM,,Landed - On-time,4:51 AM,,,
Pittsburgh (PIT),FedEx,FX 1986,3:35 AM,,Landed - Delayed,5:03 AM,,,
Albany (ALB),Wiggins Airways,8413,3:37 AM,,Landed - On-time,,,,
Cleveland (CLE),FedEx,FX 1987,3:45 AM,,Landed - Delayed,5:40 AM,,,
Syracuse (SYR),Mountain Air Cargo,C2 8449,4:00 AM,,Landed,,,,
Boston (BOS),FedEx,FX 1989,4:08 AM,,Landed - On-time,4:46 AM,,,
Baltimore (BWI),Mountain Air Cargo,C2 8305,4:15 AM,,Landed - On-time,5:22 AM,,,
Dulles (IAD),FedEx,FX 1951,4:15 AM,,Landed - On-time,5:18 AM,,,
Albany (ALB),Wiggins Airways,8306,4:30 AM,,Diverted,6:12 AM,,,
Buffalo (BUF),Mountain Air Cargo,C2 8324,4:30 AM,,Landed - On-time,,,,
Providence (PVD),Wiggins Airways,8300,4:30 AM,,Landed,,,,
Hartford (BDL),Wiggins Airways,8303,4:45 AM,,Landed - On-time,5:35 AM,,,
Charlotte (CLT),American Airlines,AA 2763,5:00 AM,A,Landed - On-time,6:32 AM,,6:49 AM,
Denver (DEN),SAS,SK 6720,5:00 AM,C,Landed - On-time,6:59 AM,,7:18 AM,
Denver (DEN),United Airlines,UA 1084,5:00 AM,C,Landed - On-time,6:59 AM,,7:18 AM,
Providence (PVD),Wiggins Airways,8301,5:00 AM,,Landed - On-time,6:16 AM,,,
Austin (AUS),Southwest Airlines,WN 1781,5:10 AM,A,Canceled,,,8:10 AM,
Providence (PVD),Wiggins Airways,283,5:10 AM,,Landed,,,,
Dallas (DFW),American Airlines,AA 1134,5:12 AM,A,Landed - On-time,7:36 AM,,8:01 AM,
Plattsburgh (PBG),Wiggins Airways,8302,5:15 AM,,Landed - On-time,,,,
Boston (BOS),JetBlue Airways,B6 1280,5:20 AM,A,Landed - Delayed,7:27 AM,,6:26 AM,
Boston (BOS),Emirates,EK 6298,5:20 AM,A,Landed - Delayed,7:27 AM,,6:26 AM,
Boston (BOS),TAP Portugal,TP 8012,5:20 AM,A,Landed - Delayed,7:27 AM,,6:26 AM,
Chicago (ORD),Air Canada,AC 5205,5:20 AM,C,Landed - On-time,6:49 AM,,6:46 AM,
Chicago (ORD),United Airlines,UA 2139,5:20 AM,C,Landed - On-time,6:49 AM,,6:46 AM,
Chicago (ORD),SAS,SK 3968,5:20 AM,C,Landed - On-time,6:49 AM,,6:46 AM,
Santo Domingo (SDQ),JetBlue Airways,B6 1203,5:30 AM,A,Landed - Delayed,9:23 AM,,9:16 AM,
Fort Lauderdale (FLL),Southwest Airlines,WN 373,5:45 AM,A,Landed - On-time,8:35 AM,,8:40 AM,
Atlanta (ATL),Delta Air Lines,DL 575,6:00 AM,B,Landed - On-time,8:27 AM,,8:14 AM,
Atlanta (ATL),Aeromexico,AM 5125,6:00 AM,B,Landed - On-time,8:27 AM,,8:14 AM,
Atlanta (ATL),Virgin Atlantic,VS 4453,6:00 AM,B,Landed - On-time,8:27 AM,,8:14 AM,
Washington (DCA),NetJets Aviation,1I 515,6:00 AM,,Landed,,,,
Detroit (DTW),Delta Air Lines,DL 1652,6:00 AM,B,Landed - On-time,7:33 AM,,7:50 AM,
Detroit (DTW),Aeromexico,AM 4044,6:00 AM,B,Landed - On-time,7:33 AM,,7:50 AM,
Detroit (DTW),Virgin Atlantic,VS 3134,6:00 AM,B,Landed - On-time,7:33 AM,,7:50 AM,
Fort Lauderdale (FLL),Spirit Airlines,NK 521,6:00 AM,B,Landed - On-time,8:47 AM,,8:55 AM,
Fort Lauderdale (FLL),United Airlines,UA 1401,6:00 AM,C,Landed - Delayed,9:19 AM,,9:01 AM,
Fort Lauderdale (FLL),SAS,SK 6756,6:00 AM,C,Landed - Delayed,9:19 AM,,9:01 AM,
Houston (IAH),United Airlines,UA 2037,6:00 AM,C,Landed - On-time,8:22 AM,,8:47 AM,
Houston (IAH),Air New Zealand,NZ 6596,6:00 AM,C,Landed - On-time,8:22 AM,,8:47 AM,
Houston (IAH),SAS,SK 6820,6:00 AM,C,Landed - On-time,8:22 AM,,8:47 AM,
Los Angeles (LAX),United Airlines,UA 758,6:00 AM,C,Landed - On-time,9:20 AM,,9:06 AM,
Los Angeles (LAX),Air New Zealand,NZ 9535,6:00 AM,C,Landed - On-time,9:20 AM,,9:06 AM,
Los Angeles (LAX),Asiana Airlines,OZ 6261,6:00 AM,C,Landed - On-time,9:20 AM,,9:06 AM,
Chicago (MDW),Southwest Airlines,WN 956,6:00 AM,A,Canceled,,,7:20 AM,
Minneapolis (MSP),Delta Air Lines,DL 2805,6:00 AM,B,Landed - On-time,7:38 AM,,7:54 AM,
Minneapolis (MSP),Virgin Atlantic,VS 4441,6:00 AM,B,Landed - On-time,7:38 AM,,7:54 AM,
West Palm Beach (PBI),JetBlue Airways,B6 1143,6:00 AM,A,Landed - On-time,8:24 AM,,8:42 AM,
West Palm Beach (PBI),Emirates,EK 6919,6:00 AM,A,Landed - On-time,8:24 AM,,8:42 AM,
West Palm Beach (PBI),United Airlines,UA 1428,6:00 AM,C,Landed - On-time,8:40 AM,,8:49 AM,
West Palm Beach (PBI),Air Canada,AC 5299,6:00 AM,C,Landed - On-time,8:40 AM,,8:49 AM,
San Francisco (SFO),United Airlines,UA 1483,6:00 AM,C,Landed - On-time,9:10 AM,,9:16 AM,
San Francisco (SFO),Air New Zealand,NZ 9130,6:00 AM,C,Landed - On-time,9:10 AM,,9:16 AM,
Tampa (TPA),JetBlue Airways,B6 573,6:00 AM,A,Landed - Delayed,9:05 AM,,8:44 AM,
Tampa (TPA),Emirates,EK 6907,6:00 AM,A,Landed - Delayed,9:05 AM,,8:44 AM,
Tampa (TPA),TAP Portugal,TP 8109,6:00 AM,A,Landed - Delayed,9:05 AM,,8:44 AM,
Atlanta (ATL),United Airlines,UA 241,6:05 AM,C,Landed - Delayed,9:06 AM,,8:29 AM,
Atlanta (ATL),SAS,SK 6716,6:05 AM,C,Landed - Delayed,9:06 AM,,8:29 AM,
Austin (AUS),Republic Airlines,YX 3672,6:05 AM,A,Landed - On-time,8:43 AM,,9:32 AM,
Austin (AUS),SAS,SK 6868,6:05 AM,A,Landed - On-time,8:43 AM,,9:32 AM,
Austin (AUS),United Airlines,UA 3672,6:05 AM,A,Landed - On-time,8:43 AM,,9:32 AM,
Boston (BOS),United Airlines,UA 1629,6:05 AM,C,Landed - On-time,7:22 AM,,7:13 AM,
Boston (BOS),SAS,SK 6780,6:05 AM,C,Landed - On-time,7:22 AM,,7:13 AM,
Washington (DCA),ExpressJet,EV 4156,6:05 AM,A,Landed - On-time,7:14 AM,,7:23 AM,
Washington (DCA),United Airlines,UA 4156,6:05 AM,A,Landed - On-time,7:14 AM,,7:23 AM,
Detroit (DTW),Republic Airlines,YX 3598,6:05 AM,C,Landed - On-time,7:50 AM,,8:06 AM,
Detroit (DTW),United Airlines,UA 3598,6:05 AM,C,Landed - On-time,7:50 AM,,8:06 AM,
Dulles (IAD),CommutAir,C5 4931,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Dulles (IAD),AVIANCA,AV 2135,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Dulles (IAD),Ethiopian Airlines,ET 1387,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Dulles (IAD),United Airlines,UA 4931,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Las Vegas (LAS),Spirit Airlines,NK 757,6:10 AM,B,Landed - On-time,8:19 AM,,8:44 AM,
Raleigh/Durham (RDU),Republic Airlines,YX 3413,6:15 AM,A,Canceled,,,7:55 AM,
Raleigh/Durham (RDU),United Airlines,UA 3413,6:15 AM,A,Canceled,,,7:55 AM,
Cleveland (CLE),ExpressJet,EV 4001,6:20 AM,A,Landed - On-time,7:49 AM,,8:02 AM,
Cleveland (CLE),United Airlines,UA 4001,6:20 AM,A,Landed - On-time,7:49 AM,,8:02 AM,
Las Vegas (LAS),United Airlines,UA 1753,6:20 AM,C,Landed - On-time,8:24 AM,,8:50 AM,
Orlando (MCO),United Airlines,UA 1784,6:20 AM,C,Landed - Delayed,9:02 AM,,8:58 AM,
Punta Cana (PUJ),United Airlines,UA 1752,6:20 AM,C,Landed - On-time,9:57 AM,,10:20 AM,
Tampa (TPA),United Airlines,UA 1797,6:21 AM,C,Landed - Delayed,10:50 AM,,9:06 AM,
Tampa (TPA),SAS,SK 6892,6:21 AM,C,Landed - Delayed,10:50 AM,,9:06 AM,
Miami (MIA),American Airlines,AA 1301,6:25 AM,A,Landed - On-time,9:31 AM,,9:29 AM,
Miami (MIA),LATAM Airlines Brasil,JJ 2073,6:25 AM,A,Landed - On-time,9:31 AM,,9:29 AM,
Miami (MIA),LATAM Airlines,LA 6940,6:25 AM,A,Landed - On-time,9:31 AM,,9:29 AM,
Pittsburgh (PIT),Republic Airlines,YX 3600,6:25 AM,A,Canceled,,,7:53 AM,
Pittsburgh (PIT),United Airlines,UA 3600,6:25 AM,A,Canceled,,,7:53 AM,
Toronto (YYZ),Air Canada,AC 521,6:25 AM,A,Landed - On-time,7:55 AM,,8:00 AM,
Toronto (YYZ),United Airlines,UA 8505,6:25 AM,A,Landed - On-time,7:55 AM,,8:00 AM,
Orlando (MCO),JetBlue Airways,B6 27,6:30 AM,A,Landed - Delayed,9:23 AM,,9:11 AM,
Orlando (MCO),Emirates,EK 6917,6:30 AM,A,Landed - Delayed,9:23 AM,,9:11 AM,
Omaha (OMA),Republic Airlines,YX 3502,6:30 AM,C,Landed - On-time,8:21 AM,,8:57 AM,
Omaha (OMA),Air Canada,AC 3101,6:30 AM,C,Landed - On-time,8:21 AM,,8:57 AM,
Omaha (OMA),United Airlines,UA 3502,6:30 AM,C,Landed - On-time,8:21 AM,,8:57 AM,
Chicago (ORD),United Airlines,UA 2001,6:30 AM,C,Landed - On-time,7:57 AM,,7:55 AM,
Chicago (ORD),Air Canada,AC 5925,6:30 AM,C,Landed - On-time,7:57 AM,,7:55 AM,
Chicago (ORD),SAS,SK 3942,6:30 AM,C,Landed - On-time,7:57 AM,,7:55 AM,
Seattle (SEA),Alaska Airlines,AS 31,6:30 AM,A,Landed - Delayed,9:54 AM,,9:23 AM,
Charlotte (CLT),American Airlines,AA 1762,6:35 AM,A,Landed - Delayed,10:56 AM,,8:28 AM,
Fort Myers (RSW),JetBlue Airways,B6 811,6:36 AM,A,Canceled,,,9:39 AM,
Fort Myers (RSW),Emirates,EK 6903,6:36 AM,A,Canceled,,,9:39 AM,
Fort Myers (RSW),TAP Portugal,TP 8107,6:36 AM,A,Canceled,,,9:39 AM,
Columbus (CMH),ExpressJet,EV 4136,6:40 AM,A,Landed - On-time,8:10 AM,,8:35 AM,
Columbus (CMH),United Airlines,UA 4136,6:40 AM,A,Landed - On-time,8:10 AM,,8:35 AM,
Dallas (DFW),Republic Airlines,YX 3678,6:40 AM,A,Landed - On-time,9:08 AM,,9:39 AM,
Dallas (DFW),United Airlines,UA 3678,6:40 AM,A,Landed - On-time,9:08 AM,,9:39 AM,
Saint Louis (STL),Republic Airlines,YX 3690,6:40 AM,C,Landed - Delayed,9:23 AM,,8:39 AM,
Saint Louis (STL),SAS,SK 6704,6:40 AM,C,Landed - Delayed,9:23 AM,,8:39 AM,
Saint Louis (STL),United Airlines,UA 3690,6:40 AM,C,Landed - Delayed,9:23 AM,,8:39 AM,
Phoenix (PHX),American Airlines,AA 1352,6:45 AM,A,Landed - On-time,9:13 AM,,9:24 AM,
Greensboro/High Point(GSO),CommutAir,C5 4902,6:50 AM,A,Landed - On-time,8:28 AM,,8:39 AM,
Greensboro/High Point(GSO),Air Canada,AC 3444,6:50 AM,A,Landed - On-time,8:28 AM,,8:39 AM,
Greensboro/High Point(GSO),United Airlines,UA 4902,6:50 AM,A,Landed - On-time,8:28 AM,,8:39 AM,
Toronto (YTZ),Porter Airlines,PD 118,6:50 AM,B,Landed - Delayed,8:30 AM,,8:30 AM,
Calgary (YYC),Air Canada,AC 585,6:55 AM,A,Landed - On-time,9:54 AM,,9:51 AM,
Calgary (YYC),United Airlines,UA 8507,6:55 AM,A,Landed - On-time,9:54 AM,,9:51 AM,
Dallas (DFW),American Airlines,AA 2321,7:00 AM,A,Landed - On-time,9:30 AM,,9:53 AM,
Miami (MIA),United Airlines,UA 1109,7:00 AM,C,Landed - On-time,10:13 AM,,9:56 AM,
New Orleans (MSY),Spirit Airlines,NK 1153,7:00 AM,B,Landed - On-time,9:15 AM,,9:12 AM,
Phoenix (PHX),United Airlines,UA 581,7:00 AM,C,Landed - Delayed,9:47 AM,,9:15 AM,
San Francisco (SFO),United Airlines,UA 1848,7:00 AM,C,Landed - Delayed,11:13 AM,,10:18 AM,
San Francisco (SFO),Azul,AD 7038,7:00 AM,C,Landed - Delayed,11:13 AM,,10:18 AM,
San Francisco (SFO),ANA,NH 7007,7:00 AM,C,Landed - Delayed,11:13 AM,,10:18 AM,
San Francisco (SFO),Air New Zealand,NZ 9135,7:00 AM,C,Landed - Delayed,11:13 AM,,10:18 AM,
Atlanta (ATL),Delta Air Lines,DL 2389,7:05 AM,B,Landed - On-time,9:35 AM,,9:22 AM,
Atlanta (ATL),Aeromexico,AM 5399,7:05 AM,B,Landed - On-time,9:35 AM,,9:22 AM,
Atlanta (ATL),Virgin Atlantic,VS 4495,7:05 AM,B,Landed - On-time,9:35 AM,,9:22 AM,
Sarasota (SRQ),United Airlines,UA 1013,7:05 AM,C,Landed - On-time,9:48 AM,,10:00 AM,
San Francisco (SFO),Alaska Airlines,AS 1183,7:15 AM,A,Landed - Delayed,12:20 PM,,10:25 AM,
Chicago (ORD),Envoy Air,MQ 3367,7:20 AM,A,Landed - Delayed,12:47 PM,,9:02 AM,
Chicago (ORD),Alaska Airlines,AS 6779,7:20 AM,A,Landed - Delayed,12:47 PM,,9:02 AM,
Chicago (ORD),American Airlines,AA 3367,7:20 AM,A,Landed - Delayed,12:47 PM,,9:02 AM,
San Juan (SJU),JetBlue Airways,B6 1289,7:23 AM,A,Landed - On-time,11:11 AM,,11:13 AM,
San Juan (SJU),Emirates,EK 6905,7:23 AM,A,Landed - On-time,11:11 AM,,11:13 AM,
Atlanta (ATL),United Airlines,UA 475,7:25 AM,C,Landed - On-time,9:40 AM,,9:50 AM,
Detroit (DTW),GoJet Airlines,G7 6238,7:25 AM,B,Canceled,,,9:18 AM,
Detroit (DTW),Virgin Atlantic,VS 2876,7:25 AM,B,Canceled,,,9:18 AM,
Detroit (DTW),Delta Air Lines,DL 6238,7:25 AM,B,Canceled,,,9:18 AM,
New Orleans (MSY),Republic Airlines,YX 3683,7:25 AM,A,Landed - On-time,9:42 AM,,9:49 AM,
New Orleans (MSY),Air Canada,AC 5667,7:25 AM,A,Landed - On-time,9:42 AM,,9:49 AM,
New Orleans (MSY),United Airlines,UA 3683,7:25 AM,A,Landed - On-time,9:42 AM,,9:49 AM,
Raleigh/Durham (RDU),United Airlines,UA 2331,7:25 AM,C,Landed - On-time,8:46 AM,,9:19 AM,
Orlando (MCO),United Airlines,UA 1939,7:29 AM,C,Landed - On-time,9:54 AM,,10:07 AM,
Toronto (YYZ),ExpressJet,EV 4199,7:30 AM,A,Landed - Delayed,9:35 AM,,9:11 AM,
Toronto (YYZ),Air Canada,AC 3601,7:30 AM,A,Landed - Delayed,9:35 AM,,9:11 AM,
Toronto (YYZ),United Airlines,UA 4199,7:30 AM,A,Landed - Delayed,9:35 AM,,9:11 AM,
Charleston (CHS),United Airlines,UA 284,7:34 AM,C,Landed - On-time,9:23 AM,,9:41 AM,
Charleston (CHS),Air Canada,AC 3013,7:34 AM,C,Landed - On-time,9:23 AM,,9:41 AM,
Boston (BOS),United Airlines,UA 620,7:35 AM,C,Landed - Delayed,8:40 AM,,8:44 AM,
Boston (BOS),Azul,AD 7044,7:35 AM,C,Landed - Delayed,8:40 AM,,8:44 AM,
Nashville (BNA),ExpressJet,EV 4121,7:44 AM,A,Landed - On-time,9:12 AM,,9:20 AM,
Nashville (BNA),United Airlines,UA 4121,7:44 AM,A,Landed - On-time,9:12 AM,,9:20 AM,
Hartford (BDL),Wiggins Airways,8304,7:45 AM,,Unknown,,,,
San Juan (SJU),United Airlines,UA 1523,7:45 AM,C,Landed - On-time,11:32 AM,,11:35 AM,
San Juan (SJU),Air Canada,AC 5301,7:45 AM,C,Landed - On-time,11:32 AM,,11:35 AM,
Providence (PVD),ExpressJet,EV 4053,7:46 AM,A,Landed - On-time,9:04 AM,,9:05 AM,
Providence (PVD),United Airlines,UA 4053,7:46 AM,A,Landed - On-time,9:04 AM,,9:05 AM,
Seattle (SEA),United Airlines,UA 280,7:47 AM,C,Landed - On-time,10:27 AM,,10:41 AM,
Seattle (SEA),Asiana Airlines,OZ 9544,7:47 AM,C,Landed - On-time,10:27 AM,,10:41 AM,
Savannah (SAV),United Airlines,UA 784,7:49 AM,C,Landed - On-time,9:55 AM,,10:05 AM,
Savannah (SAV),Air Canada,AC 3057,7:49 AM,C,Landed - On-time,9:55 AM,,10:05 AM,
Toronto (YTZ),Porter Airlines,PD 120,7:50 AM,B,Landed - Delayed,9:55 AM,,9:30 AM,
Fort Lauderdale (FLL),JetBlue Airways,B6 1505,7:53 AM,A,Landed - Delayed,1:25 PM,,10:53 AM,
Fort Lauderdale (FLL),Emirates,EK 6897,7:53 AM,A,Landed - Delayed,1:25 PM,,10:53 AM,
Fort Lauderdale (FLL),El Al,LY 8765,7:53 AM,A,Landed - Delayed,1:25 PM,,10:53 AM,
Dayton (DAY),ExpressJet,EV 4327,7:55 AM,A,Landed - On-time,9:48 AM,,10:10 AM,
Dayton (DAY),United Airlines,UA 4327,7:55 AM,A,Landed - On-time,9:48 AM,,10:10 AM,
Houston (IAH),United Airlines,UA 508,7:55 AM,C,Landed - On-time,10:34 AM,,10:42 AM,
Houston (IAH),Air New Zealand,NZ 6595,7:55 AM,C,Landed - On-time,10:34 AM,,10:42 AM,
Oakland (OAK),FedEx,FX 3806,7:55 AM,,Landed - On-time,10:22 AM,,,
Saint Louis (STL),Southwest Airlines,WN 6027,7:55 AM,A,Landed - On-time,9:10 AM,,9:35 AM,
Burlington (BTV),CommutAir,C5 4893,7:59 AM,A,Landed - On-time,9:08 AM,,9:22 AM,
Burlington (BTV),United Airlines,UA 4893,7:59 AM,A,Landed - On-time,9:08 AM,,9:22 AM,
Denver (DEN),United Airlines,UA 282,7:59 AM,C,Landed - Delayed,10:47 AM,,10:17 AM,
Los Angeles (LAX),United Airlines,UA 703,7:59 AM,C,Landed - On-time,10:57 AM,,11:05 AM,
Los Angeles (LAX),Azul,AD 7040,7:59 AM,C,Landed - On-time,10:57 AM,,11:05 AM,
Los Angeles (LAX),Air China,CA 7360,7:59 AM,C,Landed - On-time,10:57 AM,,11:05 AM,
Los Angeles (LAX),ANA,NH 7229,7:59 AM,C,Landed - On-time,10:57 AM,,11:05 AM,
Los Angeles (LAX),Air New Zealand,NZ 9537,7:59 AM,C,Landed - On-time,10:57 AM,,11:05 AM,
Boston (BOS),JetBlue Airways,B6 2280,8:00 AM,A,Landed - On-time,8:50 AM,,9:11 AM,
Boston (BOS),JAL,JL 5479,8:00 AM,A,Landed - On-time,8:50 AM,,9:11 AM,
Boston (BOS),El Al,LY 8763,8:00 AM,A,Landed - On-time,8:50 AM,,9:11 AM,
Cancun (CUN),United Airlines,UA 1048,8:00 AM,C,Landed - Delayed,11:42 AM,,11:00 AM,
Dallas (DFW),UPS,5X 2077,8:00 AM,,Landed - Delayed,1:55 PM,,,
Dallas (DFW),American Airlines,AA 9246,8:00 AM,A,Canceled,,,10:56 AM,
Chicago (ORD),United Airlines,UA 977,8:00 AM,C,Landed - On-time,9:25 AM,,9:33 AM,
Chicago (ORD),Air Canada,AC 5953,8:00 AM,C,Landed - On-time,9:25 AM,,9:33 AM,
Knoxville (TYS),ExpressJet,EV 3178,8:00 AM,A,Landed - Delayed,12:41 PM,,10:20 AM,
Knoxville (TYS),United Airlines,UA 3178,8:00 AM,A,Landed - Delayed,12:41 PM,,10:20 AM,
Richmond (RIC),ExpressJet,EV 4283,8:05 AM,A,Landed - On-time,9:40 AM,,9:51 AM,
Richmond (RIC),United Airlines,UA 4283,8:05 AM,A,Landed - On-time,9:40 AM,,9:51 AM,
Ontario (ONT),UPS,5X 2083,8:06 AM,,Landed - Delayed,2:33 PM,,,
Los Angeles (LAX),Alaska Airlines,AS 1161,8:08 AM,A,Landed - On-time,11:21 AM,,11:25 AM,
Atlanta (ATL),Delta Air Lines,DL 807,8:10 AM,B,Landed - Delayed,1:43 PM,,10:30 AM,
Atlanta (ATL),Aeromexico,AM 5124,8:10 AM,B,Landed - Delayed,1:43 PM,,10:30 AM,
Atlanta (ATL),Korean Air,KE 3536,8:10 AM,B,Landed - Delayed,1:43 PM,,10:30 AM,
Atlanta (ATL),Virgin Atlantic,VS 4499,8:10 AM,B,Landed - Delayed,1:43 PM,,10:30 AM,
Portland (PWM),Republic Airlines,YX 3716,8:10 AM,C,Landed - On-time,9:14 AM,,9:36 AM,
Portland (PWM),Air Canada,AC 3462,8:10 AM,C,Landed - On-time,9:14 AM,,9:36 AM,
Portland (PWM),United Airlines,UA 3716,8:10 AM,C,Landed - On-time,9:14 AM,,9:36 AM,
Boston (BOS),Wiggins Airways,8310,8:15 AM,,Landed - On-time,9:44 AM,,,
Charlotte (CLT),American Airlines,AA 1300,8:15 AM,A,Landed - On-time,10:08 AM,,10:19 AM,
Honolulu (HNL),United Airlines,UA 363,8:15 AM,C,Landed - On-time,12:57 PM,,1:13 PM,
Honolulu (HNL),Air China,CA 7378,8:15 AM,C,Landed - On-time,12:57 PM,,1:13 PM,
Honolulu (HNL),Air New Zealand,NZ 9726,8:15 AM,C,Landed - On-time,12:57 PM,,1:13 PM,
Dulles (IAD),Mountain Air Cargo,C2 8313,8:15 AM,,Landed - On-time,,,,
Kansas City (MCI),Republic Airlines,YX 3493,8:15 AM,C,Landed - On-time,10:11 AM,,10:29 AM,
Kansas City (MCI),United Airlines,UA 3493,8:15 AM,C,Landed - On-time,10:11 AM,,10:29 AM,
Manchester (MHT),CommutAir,C5 4973,8:20 AM,C,Landed - On-time,9:45 AM,,9:45 AM,
Manchester (MHT),United Airlines,UA 4973,8:20 AM,C,Landed - On-time,9:45 AM,,9:45 AM,
Minneapolis (MSP),Delta Air Lines,DL 798,8:20 AM,B,Landed - On-time,10:07 AM,,10:20 AM,
Minneapolis (MSP),Jet Airways (India),9W 8410,8:20 AM,B,Landed - On-time,10:07 AM,,10:20 AM,
Minneapolis (MSP),Virgin Atlantic,VS 4469,8:20 AM,B,Landed - On-time,10:07 AM,,10:20 AM,
Portland (PDX),United Airlines,UA 2415,8:20 AM,C,Landed - On-time,11:06 AM,,11:13 AM,
Rockford (RFD),UPS,5X 2071,8:20 AM,,Landed - Delayed,11:44 AM,,,
Rochester (ROC),ExpressJet,EV 4144,8:20 AM,A,Landed - On-time,9:38 AM,,9:57 AM,
Rochester (ROC),United Airlines,UA 4144,8:20 AM,A,Landed - On-time,9:38 AM,,9:57 AM,
Knoxville (TYS),United Airlines,UA 2406,8:20 AM,C,Landed - Delayed,10:53 AM,,10:32 AM,
Knoxville (TYS),Air Canada,AC 5530,8:20 AM,C,Landed - Delayed,10:53 AM,,10:32 AM,
Salt Lake City (SLC),United Airlines,UA 602,8:21 AM,C,Landed - Delayed,12:13 PM,,11:44 AM,
Charlotte (CLT),Republic Airlines,YX 3487,8:25 AM,C,Landed - On-time,10:24 AM,,10:34 AM,
Charlotte (CLT),United Airlines,UA 3487,8:25 AM,C,Landed - On-time,10:24 AM,,10:34 AM,
Atlanta (ATL),United Airlines,UA 337,8:27 AM,C,Landed - On-time,10:51 AM,,10:56 AM,
Aruba (AUA),United Airlines,UA 1030,8:30 AM,C,Landed - Delayed,1:35 PM,,1:10 PM,
Aruba (AUA),Air Canada,AC 4956,8:30 AM,C,Landed - Delayed,1:35 PM,,1:10 PM,
Austin (AUS),United Airlines,UA 781,8:30 AM,C,Landed - On-time,11:27 AM,,11:34 AM,
Detroit (DTW),Republic Airlines,YX 3419,8:30 AM,A,Landed - On-time,10:19 AM,,10:31 AM,
Detroit (DTW),United Airlines,UA 3419,8:30 AM,A,Landed - On-time,10:19 AM,,10:31 AM,
Fort Lauderdale (FLL),United Airlines,UA 308,8:30 AM,C,Landed - On-time,11:43 AM,,11:29 AM,
Indianapolis (IND),ExpressJet,EV 4458,8:30 AM,A,Landed - On-time,10:41 AM,,10:58 AM,
Indianapolis (IND),United Airlines,UA 4458,8:30 AM,A,Landed - On-time,10:41 AM,,10:58 AM,
London (LHR),United Airlines,UA 934,8:30 AM,C,Landed - On-time,8:14 PM,,8:40 PM,
London (LHR),Air Canada,AC 5874,8:30 AM,C,Landed - On-time,8:14 PM,,8:40 PM,
London (LHR),Lufthansa,LH 7624,8:30 AM,C,Landed - On-time,8:14 PM,,8:40 PM,
London (LHR),Austrian,OS 7792,8:30 AM,C,Landed - On-time,8:14 PM,,8:40 PM,
Orlando (MCO),United Airlines,UA 464,8:30 AM,C,Landed - On-time,11:13 AM,,11:21 AM,
Memphis (MEM),ExpressJet,EV 4032,8:30 AM,A,Landed - Delayed,11:13 AM,,10:40 AM,
Memphis (MEM),Air Canada,AC 4621,8:30 AM,A,Landed - Delayed,11:13 AM,,10:40 AM,
Memphis (MEM),United Airlines,UA 4032,8:30 AM,A,Landed - Delayed,11:13 AM,,10:40 AM,
Memphis (MEM),FedEx,FX 421,8:30 AM,,Landed - On-time,9:51 AM,,,
Fort Myers (RSW),United Airlines,UA 1550,8:30 AM,C,Landed - Delayed,12:51 PM,,11:33 AM,
San Diego (SAN),United Airlines,UA 1593,8:30 AM,C,Landed - Delayed,12:00 PM,,11:22 AM,
San Francisco (SFO),United Airlines,UA 497,8:30 AM,C,Landed - Delayed,12:05 PM,,11:37 AM,
San Francisco (SFO),Azul,AD 7036,8:30 AM,C,Landed - Delayed,12:05 PM,,11:37 AM,
San Francisco (SFO),Air New Zealand,NZ 9123,8:30 AM,C,Landed - Delayed,12:05 PM,,11:37 AM,
Ottawa (YOW),Jazz,QK 8853,8:30 AM,A,Landed - On-time,10:04 AM,,9:54 AM,
Ottawa (YOW),Air Canada,AC 8853,8:30 AM,A,Landed - On-time,10:04 AM,,9:54 AM,
